Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2004,1,11,22,30,0,0,36.38,15
2004,1,11,23,0,0,0,36.51,15
2004,1,11,23,30,0,0,36.52,14
2004,1,12,0,0,0,0,36.67,14
2004,1,12,0,30,0,0,39.13,14
2004,1,12,1,0,0,0,39.15,14
2004,1,12,1,30,0,0,39.15,13
2004,1,12,2,0,0,0,39.15,13
2004,1,12,2,30,0,0,41.8,12
2004,1,12,3,0,0,0,44.84,12
2004,1,12,3,30,0,0,47.93,11
2004,1,12,4,0,0,0,48.44,11
2004,1,12,4,30,0,0,51.82,10
2004,1,12,5,0,0,0,52.86,10
2004,1,12,5,30,0,0,56.58,9
2004,1,12,6,0,0,0,57.9,9
2004,1,12,6,30,0,0,54.14,10
2004,1,12,7,0,185,0,52.86,11
2004,1,12,7,30,468,0,46.33,12
2004,1,12,8,0,625,0,41.42,14
2004,1,12,8,30,724,0,38.85,15
2004,1,12,9,0,789,0,34.93,17
2004,1,12,9,30,835,0,32.78,18
2004,1,12,10,0,858,0,27.23,20
2004,1,12,10,30,881,0,25.58,21
2004,1,12,11,0,897,0,22.93,22
2004,1,12,11,30,905,0,21.57,22
2004,1,12,12,0,908,0,19.63,23
2004,1,12,12,30,903,0,19.62,23
2004,1,12,13,0,884,0,19.27,24
2004,1,12,13,30,865,0,19.27,24
2004,1,12,14,0,836,0,19.28,24
2004,1,12,14,30,795,0,20.48,23
2004,1,12,15,0,734,0,25.74,22
2004,1,12,15,30,647,0,29.12,20
2004,1,12,16,0,504,0,30.14,19
2004,1,12,16,30,274,0,30.15,19
2004,1,12,17,0,0,0,28.45,19
2004,1,12,17,30,0,0,30.3,18
2004,1,12,18,0,0,7,29.86,18
2004,1,12,18,30,0,7,31.82,17
2004,1,12,19,0,0,0,31.28,17
2004,1,12,19,30,0,0,33.35,16
2004,1,12,20,0,0,0,33.3,15
2004,1,12,20,30,0,0,35.52,14
2004,1,12,21,0,0,3,35.47,14
2004,1,12,21,30,0,0,37.84,14
2004,1,12,22,0,0,0,37.53,14
2004,1,12,22,30,0,3,40.06,13
2004,1,12,23,0,0,3,39.5,13
2004,1,12,23,30,0,8,39.5,13
2004,1,13,0,0,0,7,38.97,13
2004,1,13,0,30,0,0,41.64,12
2004,1,13,1,0,0,0,41.31,12
2004,1,13,1,30,0,1,41.31,12
2004,1,13,2,0,0,0,41.27,12
2004,1,13,2,30,0,0,41.27,12
2004,1,13,3,0,0,0,41.52,12
2004,1,13,3,30,0,0,41.53,11
2004,1,13,4,0,0,0,42.14,11
2004,1,13,4,30,0,0,45.05,11
2004,1,13,5,0,0,0,45.89,11
2004,1,13,5,30,0,0,45.9,11
2004,1,13,6,0,0,0,46.7,11
2004,1,13,6,30,0,0,46.71,11
2004,1,13,7,0,136,1,45.24,12
2004,1,13,7,30,406,0,39.67,14
2004,1,13,8,0,571,0,35.72,16
2004,1,13,8,30,674,0,33.51,17
2004,1,13,9,0,747,0,30.35,19
2004,1,13,9,30,652,8,28.5,20
2004,1,13,10,0,580,7,26.64,22
2004,1,13,10,30,564,3,25.05,22
2004,1,13,11,0,509,8,24.69,23
2004,1,13,11,30,600,8,24.68,23
2004,1,13,12,0,612,8,23.91,24
2004,1,13,12,30,898,1,23.9,24
2004,1,13,13,0,572,3,24.51,25
2004,1,13,13,30,560,8,24.51,25
2004,1,13,14,0,642,7,24.89,25
2004,1,13,14,30,820,0,26.42,24
2004,1,13,15,0,766,0,31.17,23
2004,1,13,15,30,685,0,35.23,21
2004,1,13,16,0,555,0,34.81,19
2004,1,13,16,30,336,0,39.45,18
2004,1,13,17,0,0,0,39.28,17
2004,1,13,17,30,0,0,39.28,16
2004,1,13,18,0,0,0,38.17,16
2004,1,13,18,30,0,0,40.69,16
2004,1,13,19,0,0,1,39.88,16
2004,1,13,19,30,0,0,42.53,15
2004,1,13,20,0,0,0,41.96,15
2004,1,13,20,30,0,1,41.95,14
2004,1,13,21,0,0,0,41.62,14
2004,1,13,21,30,0,1,44.4,14
2004,1,13,22,0,0,0,44.2,14
2004,1,13,22,30,0,0,44.19,13
2004,1,13,23,0,0,0,44.25,13
2004,1,13,23,30,0,0,47.24,13
2004,1,14,0,0,0,0,47.49,13
2004,1,14,0,30,0,0,50.72,12
2004,1,14,1,0,0,0,51.06,12
2004,1,14,1,30,0,0,51.05,12
2004,1,14,2,0,0,0,51.28,12
2004,1,14,2,30,0,0,51.27,11
2004,1,14,3,0,0,0,51.26,11
2004,1,14,3,30,0,0,54.78,11
2004,1,14,4,0,0,0,54.52,11
2004,1,14,4,30,0,0,54.52,11
2004,1,14,5,0,0,0,54.05,11
2004,1,14,5,30,0,0,54.05,10
2004,1,14,6,0,0,1,53.48,10
2004,1,14,6,30,0,1,50.04,11
2004,1,14,7,0,215,1,46.6,13
2004,1,14,7,30,502,1,40.9,15
2004,1,14,8,0,656,0,33.44,17
2004,1,14,8,30,754,0,31.4,18
2004,1,14,9,0,815,0,25.81,20
2004,1,14,9,30,860,0,24.26,21
2004,1,14,10,0,888,0,21.14,23
2004,1,14,10,30,910,0,19.88,24
2004,1,14,11,0,920,0,17.47,25
2004,1,14,11,30,928,0,17.46,25
2004,1,14,12,0,926,0,15.56,26
2004,1,14,12,30,922,0,15.56,26
2004,1,14,13,0,902,0,14.88,26
2004,1,14,13,30,884,0,14.87,26
2004,1,14,14,0,852,0,14.28,26
2004,1,14,14,30,812,0,15.15,25
2004,1,14,15,0,751,0,18.09,24
2004,1,14,15,30,664,0,21.72,21
2004,1,14,16,0,528,0,24.82,19
2004,1,14,16,30,295,0,26.43,18
2004,1,14,17,0,0,0,25.2,17
2004,1,14,17,30,0,0,26.87,16
2004,1,14,18,0,0,0,25.4,16
2004,1,14,18,30,0,1,27.09,15
