Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,6,15,30,211,1.1,44.14,18.5,1016
2019,1,6,16,0,116,0.6,52.55,15.5,1017
2019,1,6,16,30,27,0.4,55.32,14.7,1017
2019,1,6,17,0,0,0.3,54.92,14,1018
2019,1,6,17,30,0,0.7,58.22,13.1,1018
2019,1,6,18,0,0,1,62.8,12.2,1019
2019,1,6,18,30,0,1.2,65.82,11.5,1020
2019,1,6,19,0,0,1.3,70,10.8,1020
2019,1,6,19,30,0,1.4,72.85,10.2,1020
2019,1,6,20,0,0,1.4,75.84,9.7,1020
2019,1,6,20,30,0,1.4,77.9,9.3,1020
2019,1,6,21,0,0,1.4,79.4,8.9,1021
2019,1,6,21,30,0,1.4,81.57,8.5,1021
2019,1,6,22,0,0,1.4,82.17,8.2,1021
2019,1,6,22,30,0,1.4,83.78,7.9,1020
2019,1,6,23,0,0,1.4,83.93,7.6,1020
2019,1,6,23,30,0,1.5,85.67,7.3,1020
2019,1,7,0,0,0,1.5,83.78,7.1,1020
2019,1,7,0,30,0,1.6,84.94,6.9,1020
2019,1,7,1,0,0,1.6,80,6.8,1020
2019,1,7,1,30,0,1.6,80.55,6.7,1020
2019,1,7,2,0,0,1.6,74.32,6.6,1020
2019,1,7,2,30,0,1.6,73.82,6.7,1020
2019,1,7,3,0,0,1.6,68.99,6.7,1020
2019,1,7,3,30,0,1.5,68.05,6.9,1020
2019,1,7,4,0,0,1.5,65.56,7.1,1020
2019,1,7,4,30,0,1.4,66.07,7,1021
2019,1,7,5,0,0,1.4,65.64,7,1021
2019,1,7,5,30,0,1.4,66.09,6.9,1021
2019,1,7,6,0,0,1.4,64.82,6.9,1022
2019,1,7,6,30,0,1.4,59.74,8.1,1022
2019,1,7,7,0,28,1.3,57.18,9.4,1022
2019,1,7,7,30,105,1.4,49.78,11.5,1023
2019,1,7,8,0,195,1.6,43.18,13.6,1023
2019,1,7,8,30,194,1.1,39.96,14.8,1023
2019,1,7,9,0,140,0.6,39.36,15.9,1023
2019,1,7,9,30,154,1,37.18,16.8,1023
2019,1,7,10,0,125,1.3,37.19,17.6,1023
2019,1,7,10,30,162,1.6,35.82,18.2,1023
2019,1,7,11,0,181,1.9,36.27,18.7,1022
2019,1,7,11,30,196,2,35.6,19,1022
2019,1,7,12,0,256,2.2,36.48,19.3,1021
2019,1,7,12,30,309,2.3,36.25,19.4,1021
2019,1,7,13,0,447,2.3,37.67,19.4,1021
2019,1,7,13,30,514,2.3,38.11,19.2,1020
2019,1,7,14,0,456,2.2,39.82,18.9,1020
2019,1,7,14,30,384,2.1,41.34,18.3,1020
2019,1,7,15,0,302,1.9,45.05,17.6,1020
2019,1,7,15,30,213,1.9,45.05,17.6,1020
2019,1,7,16,0,123,0.9,56.53,14.5,1020
2019,1,7,16,30,41,0.8,58.06,14.1,1021
2019,1,7,17,0,0,0.6,57.52,13.7,1021
2019,1,7,17,30,0,0.4,58.66,13.4,1021
2019,1,7,18,0,0,0.3,59.85,13.2,1021
2019,1,7,18,30,0,0.6,63.47,12.3,1021
2019,1,7,19,0,0,0.9,67.91,11.4,1021
2019,1,7,19,30,0,1,71.13,10.7,1021
2019,1,7,20,0,0,1.1,75.57,9.9,1022
2019,1,7,20,30,0,1.1,77.62,9.5,1022
2019,1,7,21,0,0,1.2,80.04,9.1,1022
2019,1,7,21,30,0,1.2,81.05,8.9,1021
2019,1,7,22,0,0,1.2,82.4,8.7,1021
2019,1,7,22,30,0,1.2,83.52,8.5,1021
2019,1,7,23,0,0,1.2,85.16,8.3,1021
2019,1,7,23,30,0,1.2,86.32,8.1,1021
2019,1,8,0,0,0,1.2,88.18,7.9,1020
2019,1,8,0,30,0,1.2,88.86,7.8,1021
2019,1,8,1,0,0,1.2,90.77,7.6,1021
2019,1,8,1,30,0,1.2,90.77,7.6,1021
2019,1,8,2,0,0,1.2,91.68,7.5,1020
2019,1,8,2,30,0,1.2,92.31,7.4,1020
2019,1,8,3,0,0,1.1,92.99,7.3,1020
2019,1,8,3,30,0,1.1,93.63,7.2,1020
2019,1,8,4,0,0,1.1,93.39,7.2,1020
2019,1,8,4,30,0,1.1,94.12,7.1,1021
2019,1,8,5,0,0,1.1,93.74,7.1,1021
2019,1,8,5,30,0,1,93.74,7.1,1021
2019,1,8,6,0,0,1,92.81,7.2,1021
2019,1,8,6,30,0,0.9,86.71,8.2,1021
2019,1,8,7,0,21,0.8,82.23,9.1,1021
2019,1,8,7,30,88,1.1,73.41,10.8,1021
2019,1,8,8,0,182,1.3,66.26,12.5,1022
2019,1,8,8,30,282,0.9,60.88,13.8,1022
2019,1,8,9,0,367,0.4,54.81,15,1022
2019,1,8,9,30,443,0.6,50.13,16.4,1022
2019,1,8,10,0,508,0.8,44.91,17.7,1021
2019,1,8,10,30,557,0.9,42.68,18.5,1020
2019,1,8,11,0,591,1.1,40.15,19.3,1020
2019,1,8,11,30,611,1.2,38.89,19.8,1019
2019,1,8,12,0,614,1.4,37.07,20.4,1019
2019,1,8,12,30,598,1.6,36.58,20.6,1018
2019,1,8,13,0,519,1.8,35.53,20.9,1018
2019,1,8,13,30,515,2,35.74,20.8,1018
2019,1,8,14,0,407,2.2,35.92,20.7,1018
2019,1,8,14,30,331,2,37.5,20,1018
2019,1,8,15,0,227,1.8,42.33,19.2,1018
2019,1,8,15,30,165,1.8,42.33,19.2,1018
2019,1,8,16,0,85,1.1,55.07,15.3,1018
2019,1,8,16,30,34,1,56.92,14.8,1019
